中心 X,中心 Y
216093.4336,61621.4696
217371.0889,80053.5622
217371.0889,98239.5622
217371.0889,77455.5622
217371.0889,74857.5622
217371.0889,100837.5622
217371.0889,95641.5622
217371.0889,85249.5622
217371.0889,82651.5622
217371.0889,87847.5622
217371.0889,93043.5622
217371.0889,90445.5622
218121.0889,81352.5622
218121.0889,99538.5622
218121.0889,78754.5622
218121.0889,102136.5622
218121.0889,76156.5622
218121.0889,96940.5622
218121.0889,86548.5622
218121.0889,83950.5622
218121.0889,89146.5622
218121.0889,94342.5622
218121.0889,91744.5622
218871.0889,80053.5622
218871.0889,98239.5622
218871.0889,77455.5622
218871.0889,74857.5622
218871.0889,100837.5622
218871.0889,95641.5622
218871.0889,85249.5622
218871.0889,82651.5622
218871.0889,87847.5622
218871.0889,93043.5622
218871.0889,90445.5622
219621.0889,81352.5622
219621.0889,99538.5622
219621.0889,78754.5622
219621.0889,102136.5622
219621.0889,76156.5622
219621.0889,96940.5622
219621.0889,86548.5622
219621.0889,83950.5622
219621.0889,89146.5622
219621.0889,94342.5622
219621.0889,91744.5622
220371.0889,80053.5622
220371.0889,98239.5622
220371.0889,77455.5622
220371.0889,74857.5622
220371.0889,100837.5622
220371.0889,95641.5622
220371.0889,85249.5622
220371.0889,82651.5622
220371.0889,87847.5622
220371.0889,93043.5622
220371.0889,90445.5622
221121.0889,81352.5622
221121.0889,99538.5622
221121.0889,78754.5622
221121.0889,102136.5622
221121.0889,76156.5622
221121.0889,96940.5622
221121.0889,86548.5622
221121.0889,83950.5622
221121.0889,89146.5622
221121.0889,94342.5622
221121.0889,91744.5622
221871.0889,80053.5622
221871.0889,98239.5622
221871.0889,77455.5622
221871.0889,74857.5622
221871.0889,100837.5622
221871.0889,95641.5622
221871.0889,85249.5622
221871.0889,82651.5622
221871.0889,87847.5622
221871.0889,93043.5622
221871.0889,90445.5622
222621.0889,81352.5622
222621.0889,99538.5622
222621.0889,78754.5622
222621.0889,102136.5622
222621.0889,76156.5622
222621.0889,96940.5622
222621.0889,86548.5622
222621.0889,83950.5622
222621.0889,89146.5622
222621.0889,94342.5622
222621.0889,91744.5622
223371.0889,80053.5622
223371.0889,98239.5622
223371.0889,77455.5622
223371.0889,74857.5622
223371.0889,100837.5622
223371.0889,95641.5622
223371.0889,85249.5622
223371.0889,82651.5622
223371.0889,87847.5622
223371.0889,93043.5622
223371.0889,90445.5622
224121.0889,81352.5622
224121.0889,99538.5622
224121.0889,78754.5622
224121.0889,102136.5622
224121.0889,76156.5622
224121.0889,96940.5622
224121.0889,86548.5622
224121.0889,83950.5622
224121.0889,89146.5622
224121.0889,94342.5622
224121.0889,91744.5622
224871.0889,80053.5622
224871.0889,98239.5622
